Date;CPI;Annual Inflation Rate;UK CPI;US CPI;EU CPI;Inf Expect (Households);Interest Rate;REER;NEER;Gross Foreign Reserves;Net Foreign Reserves;Interv;Domestic Gov Bonds
Січ.13;104,6;NaN;NaN;NaN;NaN;NaN;NaN;1,21;NaN;NaN;NaN;NaN;NaN
Лют.13;104,5;NaN;NaN;NaN;NaN;NaN;NaN;1,20;NaN;NaN;NaN;NaN;NaN
Бер.13;104,5;NaN;NaN;NaN;NaN;NaN;NaN;1,22;NaN;NaN;NaN;NaN;NaN
Кві.13;104,5;NaN;NaN;NaN;NaN;NaN;NaN;1,22;NaN;NaN;NaN;NaN;NaN
Тра.13;104,6;NaN;NaN;NaN;NaN;NaN;NaN;1,22;NaN;NaN;NaN;NaN;NaN
Чер.13;104,6;NaN;NaN;NaN;NaN;NaN;NaN;1,23;NaN;NaN;NaN;NaN;NaN
Лип.13;104,5;NaN;NaN;NaN;NaN;NaN;NaN;1,24;NaN;NaN;NaN;NaN;NaN
Сер.13;103,7;NaN;NaN;NaN;NaN;NaN;NaN;1,23;NaN;NaN;NaN;NaN;NaN
Вер.13;103,7;NaN;NaN;NaN;NaN;NaN;NaN;1,21;NaN;NaN;NaN;NaN;NaN
Жов.13;104,1;NaN;NaN;NaN;NaN;NaN;NaN;1,19;NaN;NaN;NaN;NaN;NaN
Лис.13;104,3;NaN;NaN;NaN;NaN;NaN;NaN;1,21;NaN;NaN;NaN;NaN;NaN
Гру.13;104,9;NaN;NaN;NaN;NaN;NaN;NaN;1,21;NaN;NaN;NaN;-0,941969728;NaN
Січ.14;105,1;0,5;1,9;1,6;0,9;NaN;6,5;1,22;1,96;20,41571;15,22477;-1,742293839;12,23
Лют.14;105,7;1,2;1,7;1,1;0,8;NaN;6,5;1,18;1,9;17,80559;13,29887;-1,72052185;13,78
Бер.14;108,0;3,4;1,6;1,5;0,6;NaN;6,5;1,04;1,65;15,46232;11,27949;0,05231;12,74
Кві.14;111,6;6,9;1,8;2,0;0,8;NaN;9,5;0,91;1,41;15,08553;11,1007;0;14,16
Тра.14;115,8;10,9;1,5;2,1;0,6;NaN;9,5;0,93;1,38;14,22627;10,77144;-0,57472775;14,70
Чер.14;117,0;12,0;1,9;2,1;0,7;NaN;9,5;0,93;1,38;17,89855;11,76767;0;15,94
Лип.14;117,5;12,4;1,6;2,0;0,5;NaN;12,5;0,94;1,39;17,08331;11,12409;0,08;12,55
Сер.14;118,4;14,1;1,5;1,7;0,5;NaN;12,5;0,87;1,28;16,07001;10,81303;-3,05488551;13,60
Вер.14;121,8;17,5;1,2;1,7;0,4;NaN;12,5;0,92;1,32;15,92848;7,61586;-0,735439401;13,31
Жов.14;124,8;19,9;1,3;1,7;0,5;NaN;12,5;0,98;1,37;16,38524;7,02477;-3,168387704;15,06
Лис.14;127,1;22,0;1,0;1,3;0,4;NaN;14,0;0,91;1,26;12,58693;3,47543;-0,5702395;14,56
Гру.14;130,9;25,0;0,5;0,8;-0,1;NaN;14,0;0,95;1,28;9,96608;2,36186;-0,831132753;12,11
Січ.15;135,0;28,6;0,3;-0,1;-0,5;NaN;14,0;1,02;1,35;7,53333;1,82298;-0,518193817;17,00
Лют.15;142,2;34,6;0,0;0,0;-0,3;NaN;19,5;0,70;0,89;6,41966;1,08331;-0,506606818;14,51
Бер.15;157,5;46,0;0,0;-0,1;-0,1;NaN;30,0;0,83;0,96;5,62531;0,29808;0,208866353;0,00
Кві.15;179,6;61,1;-0,1;-0,2;0,1;NaN;30,0;0,92;0,94;9,96992;0,02907;-0,081471481;12,84
Тра.15;183,5;58,6;0,1;0,0;0,5;NaN;30,0;0,98;0,99;9,63098;-0,28414;0,068648182;11,93
Чер.15;184,3;57,7;0,0;0,1;0,3;NaN;30,0;1,00;1;9,91809;0,11516;0,209233606;12,65
Лип.15;182,4;55,5;0,1;0,2;0,4;NaN;30,0;0,98;1;10,2637;0,52454;0,088853967;11,39
Сер.15;180,9;53,0;0,0;0,2;0,3;NaN;27,0;1,03;1,05;10,37539;0,93513;0,009157051;11,89
Вер.15;185,1;52,0;-0,1;0,0;0,1;NaN;22,0;1,06;1,07;12,61667;1,30026;0,1522485;11,58
Жов.15;182,7;46,4;-0,1;0,2;0,2;NaN;22,0;1,02;1,04;12,77355;1,28812;0,25399561;11,24
